"Step","dual_nyc_man_south_paper_v2_mode0 - combined/total_reward","dual_nyc_man_south_paper_v2_mode0 - combined/total_reward__MIN","dual_nyc_man_south_paper_v2_mode0 - combined/total_reward__MAX"
"0","16821.11224697525","16821.11224697525","16821.11224697525"
"21","16735.5373500666","16735.5373500666","16735.5373500666"
"48","16585.145573176826","16585.145573176826","16585.145573176826"
"59","16319.537293428795","16319.537293428795","16319.537293428795"
"72","16306.214161394164","16306.214161394164","16306.214161394164"
"118","14359.981968559221","14359.981968559221","14359.981968559221"
"148","16554.450965589967","16554.450965589967","16554.450965589967"
"150","15772.495824342326","15772.495824342326","15772.495824342326"
"153","16545.75416627817","16545.75416627817","16545.75416627817"
"154","16123.566954351207","16123.566954351207","16123.566954351207"
"163","16775.450317765568","16775.450317765568","16775.450317765568"
"184","16407.211044261298","16407.211044261298","16407.211044261298"
"224","17141.612683788437","17141.612683788437","17141.612683788437"
"249","17000.144974247978","17000.144974247978","17000.144974247978"
"258","15560.33327777778","15560.33327777778","15560.33327777778"
"265","16207.99083566434","16207.99083566434","16207.99083566434"
"277","16622.754113164614","16622.754113164614","16622.754113164614"
"280","15968.382718781219","15968.382718781219","15968.382718781219"
"291","16550.809427711178","16550.809427711178","16550.809427711178"
"300","17532.750965673215","17532.750965673215","17532.750965673215"
"304","17027.39154276279","17027.39154276279","17027.39154276279"
"317","15863.843254717505","15863.843254717505","15863.843254717505"
"336","16381.983839049837","16381.983839049837","16381.983839049837"
"352","16580.168650543903","16580.168650543903","16580.168650543903"
"367","15912.409189754691","15912.409189754691","15912.409189754691"
"388","16104.391339993343","16104.391339993343","16104.391339993343"
"404","16197.046443167947","16197.046443167947","16197.046443167947"
"424","16181.29744860695","16181.29744860695","16181.29744860695"
"429","16313.359184759687","16313.359184759687","16313.359184759687"
"434","16774.33199697525","16774.33199697525","16774.33199697525"
"464","16827.296216117218","16827.296216117218","16827.296216117218"
"476","16154.337397297146","16154.337397297146","16154.337397297146"
"514","17051.531486624488","17051.531486624488","17051.531486624488"
"518","16356.96392601843","16356.96392601843","16356.96392601843"
"533","16617.789652652904","16617.789652652904","16617.789652652904"
"548","17220.71489085914","17220.71489085914","17220.71489085914"
"577","16151.707559745812","16151.707559745812","16151.707559745812"
"585","16373.338179903432","16373.338179903432","16373.338179903432"
"612","16781.437021839272","16781.437021839272","16781.437021839272"
"645","16930.30741133866","16930.30741133866","16930.30741133866"
"651","16949.73292574093","16949.73292574093","16949.73292574093"
"662","16304.665118270621","16304.665118270621","16304.665118270621"
"675","15927.806951881452","15927.806951881452","15927.806951881452"
"685","17339.284040709288","17339.284040709288","17339.284040709288"
"702","17281.70495665446","17281.70495665446","17281.70495665446"
"751","17664.271992479742","17664.271992479742","17664.271992479742"
"754","17013.059187506944","17013.059187506944","17013.059187506944"
"762","17628.51772194472","17628.51772194472","17628.51772194472"
"788","16801.50156035631","16801.50156035631","16801.50156035631"
"801","16874.264665612165","16874.264665612165","16874.264665612165"
"806","16912.8244517427","16912.8244517427","16912.8244517427"
"812","17537.105425130427","17537.105425130427","17537.105425130427"
"839","16691.709204129205","16691.709204129205","16691.709204129205"
"881","16363.498620573871","16363.498620573871","16363.498620573871"
"884","17193.688190059944","17193.688190059944","17193.688190059944"
"913","16576.39762964813","16576.39762964813","16576.39762964813"
"921","17169.445453185705","17169.445453185705","17169.445453185705"
"947","17294.91803940504","17294.91803940504","17294.91803940504"
"961","15940.255731795984","15940.255731795984","15940.255731795984"
"962","17269.899182095687","17269.899182095687","17269.899182095687"
"964","17060.003833666335","17060.003833666335","17060.003833666335"
"975","17209.077210650466","17209.077210650466","17209.077210650466"
"990","16797.725133366635","16797.725133366635","16797.725133366635"
"996","17542.44522716173","17542.44522716173","17542.44522716173"
"997","16347.544311660562","16347.544311660562","16347.544311660562"
"1010","17211.10812851038","17211.10812851038","17211.10812851038"
"1020","16655.48606080031","16655.48606080031","16655.48606080031"
"1025","16642.519905566656","16642.519905566656","16642.519905566656"
"1049","16843.39920510046","16843.39920510046","16843.39920510046"
"1066","16577.546252775002","16577.546252775002","16577.546252775002"
"1074","17522.966239982245","17522.966239982245","17522.966239982245"
"1084","16997.58867762793","16997.58867762793","16997.58867762793"
"1103","16737.76260153735","16737.76260153735","16737.76260153735"
"1112","15925.516893051396","15925.516893051396","15925.516893051396"
"1128","15771.681682761688","15771.681682761688","15771.681682761688"
"1130","16904.94666003441","16904.94666003441","16904.94666003441"
"1136","17037.254643856148","17037.254643856148","17037.254643856148"
"1163","15896.318799728055","15896.318799728055","15896.318799728055"
"1164","16934.825077533584","16934.825077533584","16934.825077533584"
"1167","17317.89111946387","17317.89111946387","17317.89111946387"
"1182","17280.843247891004","17280.843247891004","17280.843247891004"
"1216","16379.07453746254","16379.07453746254","16379.07453746254"
"1232","17279.78082228882","17279.78082228882","17279.78082228882"
"1238","17669.255461954715","17669.255461954715","17669.255461954715"
