"Step","dual_nyc_man_south_no_info_paper_v2_mode0 - combined/total_reward","dual_nyc_man_south_no_info_paper_v2_mode0 - combined/total_reward__MIN","dual_nyc_man_south_no_info_paper_v2_mode0 - combined/total_reward__MAX"
"0","15342.36876465202","15342.36876465202","15342.36876465202"
"21","14868.78964790765","14868.78964790765","14868.78964790765"
"48","16687.22460026085","16687.22460026085","16687.22460026085"
"59","16057.33562748363","16057.33562748363","16057.33562748363"
"72","16674.955202325455","16674.955202325455","16674.955202325455"
"118","14874.077499001","14874.077499001","14874.077499001"
"148","16650.933645104895","16650.933645104895","16650.933645104895"
"150","15781.503423742924","15781.503423742924","15781.503423742924"
"153","15769.970883949387","15769.970883949387","15769.970883949387"
"154","15907.891999389502","15907.891999389502","15907.891999389502"
"163","16414.609317432572","16414.609317432572","16414.609317432572"
"184","16281.367115356868","16281.367115356868","16281.367115356868"
"224","16530.99929076479","16530.99929076479","16530.99929076479"
"249","16881.618154290154","16881.618154290154","16881.618154290154"
"258","16995.037831973586","16995.037831973586","16995.037831973586"
"265","15853.77177938728","15853.77177938728","15853.77177938728"
"277","15716.812626762126","15716.812626762126","15716.812626762126"
"280","17154.608374958378","17154.608374958378","17154.608374958378"
"291","16885.631057525807","16885.631057525807","16885.631057525807"
"300","17090.313975552224","17090.313975552224","17090.313975552224"
"304","17359.631818681322","17359.631818681322","17359.631818681322"
"317","15376.674436258189","15376.674436258189","15376.674436258189"
"336","16304.006062826063","16304.006062826063","16304.006062826063"
"352","16611.258692279942","16611.258692279942","16611.258692279942"
"367","16387.607473914974","16387.607473914974","16387.607473914974"
"388","16184.839527888777","16184.839527888777","16184.839527888777"
"404","16158.665403596402","16158.665403596402","16158.665403596402"
"424","15491.617362720615","15491.617362720615","15491.617362720615"
"429","16794.24440648241","16794.24440648241","16794.24440648241"
"434","16417.912099539346","16417.912099539346","16417.912099539346"
"464","16570.717600704847","16570.717600704847","16570.717600704847"
"476","16432.126651182152","16432.126651182152","16432.126651182152"
"514","16966.5885980686","16966.5885980686","16966.5885980686"
"518","16894.869750638256","16894.869750638256","16894.869750638256"
"533","16654.605947247197","16654.605947247197","16654.605947247197"
"548","16459.68712298812","16459.68712298812","16459.68712298812"
"577","17154.012632783888","17154.012632783888","17154.012632783888"
"585","16972.315851981355","16972.315851981355","16972.315851981355"
"612","16777.206441336442","16777.206441336442","16777.206441336442"
"645","16572.697548701297","16572.697548701297","16572.697548701297"
"651","17205.911827034077","17205.911827034077","17205.911827034077"
"662","16532.438288961042","16532.438288961042","16532.438288961042"
"675","17000.30852189477","17000.30852189477","17000.30852189477"
"685","16117.393160478408","16117.393160478408","16117.393160478408"
"702","16650.918921467422","16650.918921467422","16650.918921467422"
"751","17074.284578810082","17074.284578810082","17074.284578810082"
"754","17050.782334249085","17050.782334249085","17050.782334249085"
"762","16880.354553751804","16880.354553751804","16880.354553751804"
"788","16558.481495726497","16558.481495726497","16558.481495726497"
"801","16140.234015012764","16140.234015012764","16140.234015012764"
