"Step","dual_nyc_man_south_paper_v2_mode1 - combined/total_reward","dual_nyc_man_south_paper_v2_mode1 - combined/total_reward__MIN","dual_nyc_man_south_paper_v2_mode1 - combined/total_reward__MAX"
"0","6794.818359375","6794.818359375","6794.818359375"
"21","6433.5458984375","6433.5458984375","6433.5458984375"
"48","5958.916015625","5958.916015625","5958.916015625"
"59","5806.39208984375","5806.39208984375","5806.39208984375"
"72","6617.9365234375","6617.9365234375","6617.9365234375"
"118","6804.0498046875","6804.0498046875","6804.0498046875"
"148","6529.5576171875","6529.5576171875","6529.5576171875"
"150","7798.4638671875","7798.4638671875","7798.4638671875"
"153","6972.6513671875","6972.6513671875","6972.6513671875"
"154","6579.4560546875","6579.4560546875","6579.4560546875"
"163","7509.896484375","7509.896484375","7509.896484375"
"184","7414.0087890625","7414.0087890625","7414.0087890625"
"224","6650.34375","6650.34375","6650.34375"
"249","5882.2646484375","5882.2646484375","5882.2646484375"
"258","6356.7568359375","6356.7568359375","6356.7568359375"
"265","6835.40185546875","6835.40185546875","6835.40185546875"
"277","7475.529296875","7475.529296875","7475.529296875"
"280","5713.1328125","5713.1328125","5713.1328125"
"291","6372.1923828125","6372.1923828125","6372.1923828125"
"300","6942.6689453125","6942.6689453125","6942.6689453125"
"304","7434.259765625","7434.259765625","7434.259765625"
"317","6918.28759765625","6918.28759765625","6918.28759765625"
"336","7699.64208984375","7699.64208984375","7699.64208984375"
"352","8280.2607421875","8280.2607421875","8280.2607421875"
"367","6030.34716796875","6030.34716796875","6030.34716796875"
"388","7450.3056640625","7450.3056640625","7450.3056640625"
"404","7589.3212890625","7589.3212890625","7589.3212890625"
"424","6158.7783203125","6158.7783203125","6158.7783203125"
"429","7687.0224609375","7687.0224609375","7687.0224609375"
"434","6184.3408203125","6184.3408203125","6184.3408203125"
"464","7574.45947265625","7574.45947265625","7574.45947265625"
"476","6833.7470703125","6833.7470703125","6833.7470703125"
"514","7286.37109375","7286.37109375","7286.37109375"
"518","6951.982421875","6951.982421875","6951.982421875"
"533","7963.82470703125","7963.82470703125","7963.82470703125"
"548","6681.779296875","6681.779296875","6681.779296875"
"577","7687.93310546875","7687.93310546875","7687.93310546875"
"585","8000.0859375","8000.0859375","8000.0859375"
"612","7695.1982421875","7695.1982421875","7695.1982421875"
"645","7019.10595703125","7019.10595703125","7019.10595703125"
"651","7090.84375","7090.84375","7090.84375"
"662","7273.287109375","7273.287109375","7273.287109375"
"675","7754.1005859375","7754.1005859375","7754.1005859375"
"685","8002.91796875","8002.91796875","8002.91796875"
"702","7963.31787109375","7963.31787109375","7963.31787109375"
"751","8230.8623046875","8230.8623046875","8230.8623046875"
"754","8471.2158203125","8471.2158203125","8471.2158203125"
"762","7757.43896484375","7757.43896484375","7757.43896484375"
"788","7917.41796875","7917.41796875","7917.41796875"
"801","6898.1474609375","6898.1474609375","6898.1474609375"
"806","7167.4814453125","7167.4814453125","7167.4814453125"
"812","6739.05078125","6739.05078125","6739.05078125"
"839","7782.861328125","7782.861328125","7782.861328125"
"881","7997.16162109375","7997.16162109375","7997.16162109375"
"884","7482.1806640625","7482.1806640625","7482.1806640625"
"913","7606.185546875","7606.185546875","7606.185546875"
"921","7840.876953125","7840.876953125","7840.876953125"
"947","7431.029296875","7431.029296875","7431.029296875"
"961","8077.14013671875","8077.14013671875","8077.14013671875"
"962","7370.611328125","7370.611328125","7370.611328125"
"964","6502.64794921875","6502.64794921875","6502.64794921875"
"975","7502.79345703125","7502.79345703125","7502.79345703125"
"990","8250.154296875","8250.154296875","8250.154296875"
"996","9395.2919921875","9395.2919921875","9395.2919921875"
"997","7819.79736328125","7819.79736328125","7819.79736328125"
"1010","8101.0380859375","8101.0380859375","8101.0380859375"
"1020","7384.05224609375","7384.05224609375","7384.05224609375"
"1025","7894.79296875","7894.79296875","7894.79296875"
"1049","8514.6826171875","8514.6826171875","8514.6826171875"
"1066","7990.970703125","7990.970703125","7990.970703125"
"1074","8148.74462890625","8148.74462890625","8148.74462890625"
"1084","9248.0400390625","9248.0400390625","9248.0400390625"
"1103","7880.4228515625","7880.4228515625","7880.4228515625"
"1112","7838.283203125","7838.283203125","7838.283203125"
"1128","7555.3505859375","7555.3505859375","7555.3505859375"
"1130","7962.3828125","7962.3828125","7962.3828125"
"1136","7824.76904296875","7824.76904296875","7824.76904296875"
"1163","8229.4580078125","8229.4580078125","8229.4580078125"
"1164","7841.689453125","7841.689453125","7841.689453125"
"1167","7840.3876953125","7840.3876953125","7840.3876953125"
"1182","9057.705078125","9057.705078125","9057.705078125"
"1216","7973.3232421875","7973.3232421875","7973.3232421875"
"1232","9107.662109375","9107.662109375","9107.662109375"
"1238","8903.76171875","8903.76171875","8903.76171875"
"1252","8858.853515625","8858.853515625","8858.853515625"
"1268","6757.400390625","6757.400390625","6757.400390625"
"1271","8612.6025390625","8612.6025390625","8612.6025390625"
