"Step","dual_nyc_man_south_no_info_paper_v2_mode1 - combined/total_reward","dual_nyc_man_south_no_info_paper_v2_mode1 - combined/total_reward__MIN","dual_nyc_man_south_no_info_paper_v2_mode1 - combined/total_reward__MAX"
"0","7106.8095703125","7106.8095703125","7106.8095703125"
"21","6880.0283203125","6880.0283203125","6880.0283203125"
"48","5526.1337890625","5526.1337890625","5526.1337890625"
"59","5484.76171875","5484.76171875","5484.76171875"
"72","5341.76220703125","5341.76220703125","5341.76220703125"
"118","5908.11328125","5908.11328125","5908.11328125"
"148","6102.32666015625","6102.32666015625","6102.32666015625"
"150","7137.2578125","7137.2578125","7137.2578125"
"153","6144.50341796875","6144.50341796875","6144.50341796875"
"154","6388.1162109375","6388.1162109375","6388.1162109375"
"163","6300.88134765625","6300.88134765625","6300.88134765625"
"184","8079.5849609375","8079.5849609375","8079.5849609375"
"224","7218.50439453125","7218.50439453125","7218.50439453125"
"249","8134.87890625","8134.87890625","8134.87890625"
"258","6817.10546875","6817.10546875","6817.10546875"
"265","6787.99755859375","6787.99755859375","6787.99755859375"
"277","7599.267578125","7599.267578125","7599.267578125"
"280","7060.34716796875","7060.34716796875","7060.34716796875"
"291","6180.326171875","6180.326171875","6180.326171875"
"300","7024.20361328125","7024.20361328125","7024.20361328125"
"304","6651.59033203125","6651.59033203125","6651.59033203125"
"317","5569.845703125","5569.845703125","5569.845703125"
"336","5540.3466796875","5540.3466796875","5540.3466796875"
"352","7814.32470703125","7814.32470703125","7814.32470703125"
"367","6973.4892578125","6973.4892578125","6973.4892578125"
"388","7510.9365234375","7510.9365234375","7510.9365234375"
"404","7593.1513671875","7593.1513671875","7593.1513671875"
"424","5913.501953125","5913.501953125","5913.501953125"
"429","7551.25","7551.25","7551.25"
"434","7647.7021484375","7647.7021484375","7647.7021484375"
"464","7782.30029296875","7782.30029296875","7782.30029296875"
"476","7504.32958984375","7504.32958984375","7504.32958984375"
"514","7295.994140625","7295.994140625","7295.994140625"
"518","7338.64794921875","7338.64794921875","7338.64794921875"
"533","6198.8681640625","6198.8681640625","6198.8681640625"
"548","7507.970703125","7507.970703125","7507.970703125"
"577","7344.23046875","7344.23046875","7344.23046875"
"585","7973.3349609375","7973.3349609375","7973.3349609375"
"612","7991.80029296875","7991.80029296875","7991.80029296875"
"645","7920.125","7920.125","7920.125"
"651","8333.22265625","8333.22265625","8333.22265625"
"662","7599.201171875","7599.201171875","7599.201171875"
"675","6942.78759765625","6942.78759765625","6942.78759765625"
"685","6387.43017578125","6387.43017578125","6387.43017578125"
"702","7473.140625","7473.140625","7473.140625"
"751","8295.9765625","8295.9765625","8295.9765625"
"754","8197.1279296875","8197.1279296875","8197.1279296875"
"762","6863.40380859375","6863.40380859375","6863.40380859375"
"788","7180.181640625","7180.181640625","7180.181640625"
"801","8538.4296875","8538.4296875","8538.4296875"
"806","7227.673828125","7227.673828125","7227.673828125"
"812","7764.908203125","7764.908203125","7764.908203125"
"839","6661.513671875","6661.513671875","6661.513671875"
"881","6708.6904296875","6708.6904296875","6708.6904296875"
"884","6451.787109375","6451.787109375","6451.787109375"
"913","8214.14453125","8214.14453125","8214.14453125"
"921","9115.421875","9115.421875","9115.421875"
"947","6707.55419921875","6707.55419921875","6707.55419921875"
"961","8032.0751953125","8032.0751953125","8032.0751953125"
"962","8012.32958984375","8012.32958984375","8012.32958984375"
"964","8591.984375","8591.984375","8591.984375"
"975","7797.5126953125","7797.5126953125","7797.5126953125"
"990","8648.9033203125","8648.9033203125","8648.9033203125"
"996","7761.71533203125","7761.71533203125","7761.71533203125"
"997","7940.095703125","7940.095703125","7940.095703125"
"1010","6860.6181640625","6860.6181640625","6860.6181640625"
"1020","7789.84375","7789.84375","7789.84375"
"1025","7404.60546875","7404.60546875","7404.60546875"
"1049","8963.1826171875","8963.1826171875","8963.1826171875"
"1066","7258.37255859375","7258.37255859375","7258.37255859375"
"1074","8449.6728515625","8449.6728515625","8449.6728515625"
"1084","7634.2421875","7634.2421875","7634.2421875"
"1103","8500.162109375","8500.162109375","8500.162109375"
"1112","8384.61328125","8384.61328125","8384.61328125"
"1128","7485.52734375","7485.52734375","7485.52734375"
"1130","7517.1201171875","7517.1201171875","7517.1201171875"
"1136","8318.28515625","8318.28515625","8318.28515625"
"1163","8414.76953125","8414.76953125","8414.76953125"
"1164","8229.4716796875","8229.4716796875","8229.4716796875"
"1167","8415.7880859375","8415.7880859375","8415.7880859375"
"1182","7779.2158203125","7779.2158203125","7779.2158203125"
"1216","6997.08984375","6997.08984375","6997.08984375"
"1232","7660.474609375","7660.474609375","7660.474609375"
"1238","8559.9072265625","8559.9072265625","8559.9072265625"
"1252","8589.4853515625","8589.4853515625","8589.4853515625"
"1268","8927.099609375","8927.099609375","8927.099609375"
"1271","8705.19921875","8705.19921875","8705.19921875"
"1301","8470.521484375","8470.521484375","8470.521484375"
"1350","8306.40234375","8306.40234375","8306.40234375"
"1351","8546.619140625","8546.619140625","8546.619140625"
"1362","7814.9306640625","7814.9306640625","7814.9306640625"
"1366","7607.7578125","7607.7578125","7607.7578125"
"1373","8678.501953125","8678.501953125","8678.501953125"
"1403","7915.4140625","7915.4140625","7915.4140625"
"1408","8641.634765625","8641.634765625","8641.634765625"
"1428","7843.091796875","7843.091796875","7843.091796875"
"1446","8719.7099609375","8719.7099609375","8719.7099609375"
"1447","7897.5576171875","7897.5576171875","7897.5576171875"
"1448","8050.197265625","8050.197265625","8050.197265625"
"1470","8369.7373046875","8369.7373046875","8369.7373046875"
"1501","8578.11328125","8578.11328125","8578.11328125"
"1507","8473.0703125","8473.0703125","8473.0703125"
"1511","8003.06005859375","8003.06005859375","8003.06005859375"
"1531","7549.64453125","7549.64453125","7549.64453125"
"1551","9007.865234375","9007.865234375","9007.865234375"
"1574","8166.43701171875","8166.43701171875","8166.43701171875"
"1576","8194.044921875","8194.044921875","8194.044921875"
"1589","9536.6875","9536.6875","9536.6875"
"1598","8893.732421875","8893.732421875","8893.732421875"
"1600","7255.375","7255.375","7255.375"
"1650","7907.669921875","7907.669921875","7907.669921875"
"1686","8803.734375","8803.734375","8803.734375"
"1702","8189.5947265625","8189.5947265625","8189.5947265625"
"1718","9200.8671875","9200.8671875","9200.8671875"
"1741","9233.341796875","9233.341796875","9233.341796875"
"1760","7808.36669921875","7808.36669921875","7808.36669921875"
"1773","9126.9609375","9126.9609375","9126.9609375"
"1782","8964.478515625","8964.478515625","8964.478515625"
"1792","8178.71630859375","8178.71630859375","8178.71630859375"
"1796","8469.736328125","8469.736328125","8469.736328125"
"1800","9340.83203125","9340.83203125","9340.83203125"
"1810","8178.4453125","8178.4453125","8178.4453125"
"1814","8497.25390625","8497.25390625","8497.25390625"
"1821","10287.677734375","10287.677734375","10287.677734375"
"1828","9773.306640625","9773.306640625","9773.306640625"
"1830","8192.8974609375","8192.8974609375","8192.8974609375"
"1832","8180.32080078125","8180.32080078125","8180.32080078125"
"1833","9426.6708984375","9426.6708984375","9426.6708984375"
"1836","8730.119140625","8730.119140625","8730.119140625"
"1846","9147.1689453125","9147.1689453125","9147.1689453125"
"1878","9369.919921875","9369.919921875","9369.919921875"
"1897","9302.56640625","9302.56640625","9302.56640625"
"1933","9164.556640625","9164.556640625","9164.556640625"
"1944","8068.81884765625","8068.81884765625","8068.81884765625"
"1951","10041.5791015625","10041.5791015625","10041.5791015625"
"1956","9068.1064453125","9068.1064453125","9068.1064453125"
"1959","8549.798828125","8549.798828125","8549.798828125"
"1985","8007.9208984375","8007.9208984375","8007.9208984375"
"1991","8607.57421875","8607.57421875","8607.57421875"
"2014","9213.943359375","9213.943359375","9213.943359375"
"2016","8936.91796875","8936.91796875","8936.91796875"
"2028","9602.8056640625","9602.8056640625","9602.8056640625"
"2034","9337.845703125","9337.845703125","9337.845703125"
"2049","9792.70703125","9792.70703125","9792.70703125"
"2068","8426.2060546875","8426.2060546875","8426.2060546875"
