"Step","dual_nyc_man_south_cars_od_prices_mode2 - combined/total_reward","dual_nyc_man_south_cars_od_prices_mode2 - combined/total_reward__MIN","dual_nyc_man_south_cars_od_prices_mode2 - combined/total_reward__MAX"
"0","1569.3831787109375","1569.3831787109375","1569.3831787109375"
"16","1986.5640869140625","1986.5640869140625","1986.5640869140625"
"21","2675.17919921875","2675.17919921875","2675.17919921875"
"25","2370.080078125","2370.080078125","2370.080078125"
"48","913.001220703125","913.001220703125","913.001220703125"
"58","2076.4951171875","2076.4951171875","2076.4951171875"
"59","2376.791015625","2376.791015625","2376.791015625"
"63","1177.9775390625","1177.9775390625","1177.9775390625"
"72","2355.42333984375","2355.42333984375","2355.42333984375"
"77","1829.2745361328125","1829.2745361328125","1829.2745361328125"
"102","2202.82470703125","2202.82470703125","2202.82470703125"
"118","2991.854736328125","2991.854736328125","2991.854736328125"
"148","3317.650146484375","3317.650146484375","3317.650146484375"
"150","1762.503173828125","1762.503173828125","1762.503173828125"
"153","2340.18359375","2340.18359375","2340.18359375"
"154","2983.678466796875","2983.678466796875","2983.678466796875"
"162","1377.1761474609375","1377.1761474609375","1377.1761474609375"
"163","498.73748779296875","498.73748779296875","498.73748779296875"
"166","2466.85107421875","2466.85107421875","2466.85107421875"
"175","1402.68359375","1402.68359375","1402.68359375"
"184","2596.701904296875","2596.701904296875","2596.701904296875"
"192","358.30328369140625","358.30328369140625","358.30328369140625"
"224","1568.532958984375","1568.532958984375","1568.532958984375"
"249","1129.59521484375","1129.59521484375","1129.59521484375"
"258","2967.676025390625","2967.676025390625","2967.676025390625"
"265","3105.6552734375","3105.6552734375","3105.6552734375"
"277","2433.424560546875","2433.424560546875","2433.424560546875"
"280","3124.378662109375","3124.378662109375","3124.378662109375"
"291","2935.7802734375","2935.7802734375","2935.7802734375"
"294","2080.108154296875","2080.108154296875","2080.108154296875"
"300","770.2774047851562","770.2774047851562","770.2774047851562"
"304","1935.9765625","1935.9765625","1935.9765625"
"308","1625.5087890625","1625.5087890625","1625.5087890625"
"317","2761.88525390625","2761.88525390625","2761.88525390625"
"336","3892.5927734375","3892.5927734375","3892.5927734375"
"352","3388.341552734375","3388.341552734375","3388.341552734375"
"367","2261.6923828125","2261.6923828125","2261.6923828125"
"371","2487.1328125","2487.1328125","2487.1328125"
"381","3697.5087890625","3697.5087890625","3697.5087890625"
"388","2056.910888671875","2056.910888671875","2056.910888671875"
"396","3467.80078125","3467.80078125","3467.80078125"
"404","3506.85888671875","3506.85888671875","3506.85888671875"
"413","2681.390625","2681.390625","2681.390625"
"424","1859.1083984375","1859.1083984375","1859.1083984375"
"429","3329.6435546875","3329.6435546875","3329.6435546875"
"434","2791.302001953125","2791.302001953125","2791.302001953125"
"454","1773.1815185546875","1773.1815185546875","1773.1815185546875"
"464","2633.4677734375","2633.4677734375","2633.4677734375"
"471","2559.067138671875","2559.067138671875","2559.067138671875"
"476","1091.66552734375","1091.66552734375","1091.66552734375"
"489","2993.6015625","2993.6015625","2993.6015625"
"514","2971.739990234375","2971.739990234375","2971.739990234375"
"518","2519.772705078125","2519.772705078125","2519.772705078125"
"533","2530.56201171875","2530.56201171875","2530.56201171875"
"548","2356.399169921875","2356.399169921875","2356.399169921875"
"549","2090.526123046875","2090.526123046875","2090.526123046875"
"567","2046.13818359375","2046.13818359375","2046.13818359375"
"574","2699.30859375","2699.30859375","2699.30859375"
"577","4255.51904296875","4255.51904296875","4255.51904296875"
"584","1675.65576171875","1675.65576171875","1675.65576171875"
"585","2271.15673828125","2271.15673828125","2271.15673828125"
"588","2491.2568359375","2491.2568359375","2491.2568359375"
"594","3490.4052734375","3490.4052734375","3490.4052734375"
"612","3005.02734375","3005.02734375","3005.02734375"
"645","2468.3935546875","2468.3935546875","2468.3935546875"
"651","2788.298828125","2788.298828125","2788.298828125"
"662","3545.7509765625","3545.7509765625","3545.7509765625"
"675","3620.46044921875","3620.46044921875","3620.46044921875"
"685","1855.168212890625","1855.168212890625","1855.168212890625"
"702","3692.59326171875","3692.59326171875","3692.59326171875"
"751","3330.267578125","3330.267578125","3330.267578125"
"754","3891.18994140625","3891.18994140625","3891.18994140625"
"762","3531.16552734375","3531.16552734375","3531.16552734375"
"788","2982.315673828125","2982.315673828125","2982.315673828125"
"801","2647.890625","2647.890625","2647.890625"
"806","3645.047607421875","3645.047607421875","3645.047607421875"
"812","2940.547119140625","2940.547119140625","2940.547119140625"
"839","4381.009765625","4381.009765625","4381.009765625"
"881","2659.58544921875","2659.58544921875","2659.58544921875"
"882","3202.31494140625","3202.31494140625","3202.31494140625"
"884","3662.6787109375","3662.6787109375","3662.6787109375"
"885","3664.65673828125","3664.65673828125","3664.65673828125"
"913","3214.65478515625","3214.65478515625","3214.65478515625"
"921","3077.579833984375","3077.579833984375","3077.579833984375"
"938","3089.93701171875","3089.93701171875","3089.93701171875"
"947","4051.0390625","4051.0390625","4051.0390625"
"961","2729.97021484375","2729.97021484375","2729.97021484375"
"962","2353.45849609375","2353.45849609375","2353.45849609375"
"964","3541.87109375","3541.87109375","3541.87109375"
"971","4183.1162109375","4183.1162109375","4183.1162109375"
"975","3436.08740234375","3436.08740234375","3436.08740234375"
"990","4200.84130859375","4200.84130859375","4200.84130859375"
"996","3489.00634765625","3489.00634765625","3489.00634765625"
"997","3357.89013671875","3357.89013671875","3357.89013671875"
"1000","3911.2705078125","3911.2705078125","3911.2705078125"
"1010","3422.1171875","3422.1171875","3422.1171875"
"1020","4368.2333984375","4368.2333984375","4368.2333984375"
"1025","3982.61669921875","3982.61669921875","3982.61669921875"
"1049","3332.047607421875","3332.047607421875","3332.047607421875"
"1066","3161.407958984375","3161.407958984375","3161.407958984375"
"1074","3714.637451171875","3714.637451171875","3714.637451171875"
"1084","5861.75","5861.75","5861.75"
"1103","4303.9091796875","4303.9091796875","4303.9091796875"
"1112","3457.06884765625","3457.06884765625","3457.06884765625"
"1128","3376.1259765625","3376.1259765625","3376.1259765625"
"1130","3226.56884765625","3226.56884765625","3226.56884765625"
"1136","4664.04736328125","4664.04736328125","4664.04736328125"
"1163","4025.820068359375","4025.820068359375","4025.820068359375"
"1164","3393.998046875","3393.998046875","3393.998046875"
"1167","2586.10400390625","2586.10400390625","2586.10400390625"
"1182","3572.125","3572.125","3572.125"
"1211","3146.267578125","3146.267578125","3146.267578125"
"1216","5316.576171875","5316.576171875","5316.576171875"
"1224","2708.84765625","2708.84765625","2708.84765625"
"1232","4322.4873046875","4322.4873046875","4322.4873046875"
"1238","5451.2958984375","5451.2958984375","5451.2958984375"
"1252","5115.0146484375","5115.0146484375","5115.0146484375"
"1268","4663.7490234375","4663.7490234375","4663.7490234375"
"1271","4328.8349609375","4328.8349609375","4328.8349609375"
"1273","3458.7607421875","3458.7607421875","3458.7607421875"
"1301","3852.776611328125","3852.776611328125","3852.776611328125"
"1325","2589.41552734375","2589.41552734375","2589.41552734375"
"1326","4231.8291015625","4231.8291015625","4231.8291015625"
