"Step","dual_agent_nyc_man_south_v2_mode2 - combined/total_reward","dual_agent_nyc_man_south_v2_mode2 - combined/total_reward__MIN","dual_agent_nyc_man_south_v2_mode2 - combined/total_reward__MAX"
"0","2516.599609375","2516.599609375","2516.599609375"
"16","1747.3900146484375","1747.3900146484375","1747.3900146484375"
"21","2654.65087890625","2654.65087890625","2654.65087890625"
"25","3134.651123046875","3134.651123046875","3134.651123046875"
"48","2560.607666015625","2560.607666015625","2560.607666015625"
"58","3160.488037109375","3160.488037109375","3160.488037109375"
"59","2779.664306640625","2779.664306640625","2779.664306640625"
"63","2672.1611328125","2672.1611328125","2672.1611328125"
"72","2671.470703125","2671.470703125","2671.470703125"
"77","2856.37060546875","2856.37060546875","2856.37060546875"
"102","1841.8538818359375","1841.8538818359375","1841.8538818359375"
"118","3745.5625","3745.5625","3745.5625"
"148","2871.462646484375","2871.462646484375","2871.462646484375"
"150","22.6016845703125","22.6016845703125","22.6016845703125"
"153","2447.033203125","2447.033203125","2447.033203125"
"154","3510.265869140625","3510.265869140625","3510.265869140625"
"162","617.1401977539062","617.1401977539062","617.1401977539062"
"163","2283.959228515625","2283.959228515625","2283.959228515625"
"166","2293.30419921875","2293.30419921875","2293.30419921875"
"175","3437.91357421875","3437.91357421875","3437.91357421875"
"184","3416.3662109375","3416.3662109375","3416.3662109375"
"192","771.15966796875","771.15966796875","771.15966796875"
"224","2564.012939453125","2564.012939453125","2564.012939453125"
"249","2788.42333984375","2788.42333984375","2788.42333984375"
"258","2416.3857421875","2416.3857421875","2416.3857421875"
"265","1982.9970703125","1982.9970703125","1982.9970703125"
"277","1027.238525390625","1027.238525390625","1027.238525390625"
"280","1287.71044921875","1287.71044921875","1287.71044921875"
"291","2941.374755859375","2941.374755859375","2941.374755859375"
"294","1691.9912109375","1691.9912109375","1691.9912109375"
"300","2437.36083984375","2437.36083984375","2437.36083984375"
"304","2100.94921875","2100.94921875","2100.94921875"
"308","2500.230712890625","2500.230712890625","2500.230712890625"
"317","1709.583251953125","1709.583251953125","1709.583251953125"
"336","2813.7275390625","2813.7275390625","2813.7275390625"
"352","1404.02392578125","1404.02392578125","1404.02392578125"
"367","2955.6533203125","2955.6533203125","2955.6533203125"
"371","2706.533203125","2706.533203125","2706.533203125"
"381","3010.49560546875","3010.49560546875","3010.49560546875"
"388","1749.323486328125","1749.323486328125","1749.323486328125"
"396","2888.12548828125","2888.12548828125","2888.12548828125"
"404","2680.04736328125","2680.04736328125","2680.04736328125"
"413","1863.4227294921875","1863.4227294921875","1863.4227294921875"
"424","4513.2783203125","4513.2783203125","4513.2783203125"
"429","3015.66259765625","3015.66259765625","3015.66259765625"
"434","2462.05859375","2462.05859375","2462.05859375"
"454","3570.01123046875","3570.01123046875","3570.01123046875"
"464","2554.61767578125","2554.61767578125","2554.61767578125"
"471","1228.4130859375","1228.4130859375","1228.4130859375"
"476","2302.80029296875","2302.80029296875","2302.80029296875"
"489","2639.427001953125","2639.427001953125","2639.427001953125"
"514","2323.4990234375","2323.4990234375","2323.4990234375"
"518","2054.37890625","2054.37890625","2054.37890625"
"533","2658.14306640625","2658.14306640625","2658.14306640625"
"548","2614.90869140625","2614.90869140625","2614.90869140625"
"549","3339.87890625","3339.87890625","3339.87890625"
"567","2602.865234375","2602.865234375","2602.865234375"
"574","2907.96923828125","2907.96923828125","2907.96923828125"
"577","3037.13623046875","3037.13623046875","3037.13623046875"
"584","1616.34765625","1616.34765625","1616.34765625"
"585","4567.30615234375","4567.30615234375","4567.30615234375"
"588","4194.1142578125","4194.1142578125","4194.1142578125"
"594","3088.33251953125","3088.33251953125","3088.33251953125"
