Metric	Mode 1	Mode 2
Total Reward	18733.8 (272.4)	18020.0 (224.2)
Reward Agent 0	9287.5 (117.5)	8753.6 (247.4)
Reward Agent 1	9446.4 (200.0)	9266.4 (268.5)
Total Rebalancing Costs	0.00 (0.00)	1718.8 (59.6)
Rebalancing Costs Agent 0	0.00 (0.00)	1011.9 (75.4)
Rebalancing Costs Agent 1	0.00 (0.00)	707.0 (86.0)
Total Rebalance Trips	-	373.9 (13.9)
Rebalance Trips Agent 0	-	226.4 (19.1)
Rebalance Trips Agent 1	-	147.5 (19.0)
Total Served Demand	3398.1 (37.1)	3475.1 (27.3)
Served Demand Agent 0	1689.7 (15.0)	1689.3 (28.3)
Served Demand Agent 1	1708.4 (27.6)	1785.8 (31.2)
Price Agent 0	0.94 (0.01)	1.02 (0.00)
Price Agent 1	0.95 (0.01)	1.00 (0.00)
Wait/mins Agent 0	1.07 (0.05)	1.06 (0.06)
Wait/mins Agent 1	1.01 (0.03)	1.36 (0.06)
Queue Agent 0	5.62 (0.54)	6.42 (1.00)
Queue Agent 1	4.45 (0.61)	8.69 (1.12)
Total Arrivals	4382.7 (65.4)	4495.6 (79.7)
Arrivals Agent 0	2244.3 (41.7)	2044.7 (47.7)
Arrivals Agent 1	2138.4 (35.6)	2450.9 (58.4)
Avg Wage	22.8 (0.0)	22.8 (0.0)
